# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.120720e-09	3.278884e+02	-6.092075e-06	-3.044917e-06	-3.047158e-06
0.01          	-3.622111e-08	9.058585e+00	5.917389e-06	2.922473e-06	2.994916e-06
0.015         	-3.533491e-08	8.556968e+00	-1.200223e-06	-6.354463e-07	-5.647765e-07
0.02          	-3.180157e-08	6.861559e+00	3.024158e-07	1.194063e-07	1.830095e-07
0.025         	-2.799024e-08	6.114966e+00	4.386953e-08	-6.055473e-09	4.992500e-08
0.03          	-2.449450e-08	5.523066e+00	7.055590e-08	1.078345e-08	5.977245e-08
0.035         	-2.148646e-08	5.039578e+00	6.130554e-08	9.166306e-09	5.213923e-08
0.04          	-1.892709e-08	4.640902e+00	6.087591e-08	1.151086e-08	4.936505e-08
0.045         	-1.674301e-08	4.309444e+00	5.989595e-08	1.320497e-08	4.669098e-08
0.05          	-1.489534e-08	4.031683e+00	5.318805e-08	1.169868e-08	4.148936e-08
0.055         	-1.329224e-08	3.796854e+00	5.360349e-08	1.350951e-08	4.009398e-08
0.06          	-1.188631e-08	3.596586e+00	4.970288e-08	1.296513e-08	3.673775e-08
0.065         	-1.063046e-08	3.424293e+00	4.602272e-08	1.238091e-08	3.364182e-08
0.07          	-9.510979e-09	3.274913e+00	4.511672e-08	1.304738e-08	3.206934e-08
0.075         	-8.505449e-09	3.144370e+00	4.509606e-08	1.404258e-08	3.105348e-08
0.08          	-7.596626e-09	3.029281e+00	4.130692e-08	1.305683e-08	2.825008e-08
0.085         	-6.769914e-09	2.927123e+00	4.063935e-08	1.354976e-08	2.708959e-08
0.09          	-6.013236e-09	2.835812e+00	4.626610e-08	1.711981e-08	2.914629e-08
0.095         	-5.319306e-09	2.753801e+00	4.030046e-08	1.483093e-08	2.546954e-08
0.1           	-4.679906e-09	2.679591e+00	4.055704e-08	1.559861e-08	2.495842e-08
0.105         	-4.089499e-09	2.612148e+00	3.752756e-08	1.467428e-08	2.285328e-08
0.11          	-3.544235e-09	2.550545e+00	5.611674e-08	2.451413e-08	3.160260e-08
0.115         	1.532208e-08	2.494093e+00	2.928512e-07	1.617477e-07	1.311035e-07
0.12          	3.056729e-08	2.442129e+00	3.123543e-07	1.867445e-07	1.256099e-07
0.125         	4.290476e-08	2.394120e+00	3.446828e-07	2.152462e-07	1.294367e-07
0.13          	5.289670e-08	2.349621e+00	3.554968e-07	2.306451e-07	1.248517e-07
0.135         	6.097986e-08	2.308319e+00	3.865918e-07	2.542758e-07	1.323160e-07
0.14          	6.750271e-08	2.269757e+00	3.898648e-07	2.624351e-07	1.274297e-07
0.145         	7.275222e-08	2.233825e+00	4.125245e-07	2.790145e-07	1.335100e-07
0.15          	7.694057e-08	2.200166e+00	4.198101e-07	2.868456e-07	1.329645e-07
0.155         	8.026004e-08	2.168603e+00	4.279124e-07	2.942162e-07	1.336961e-07
0.16          	1.186129e-07	2.138912e+00	4.742397e-07	3.557328e-07	1.185069e-07
0.165         	1.494484e-07	2.110954e+00	4.965775e-07	3.977371e-07	9.884039e-08
0.17          	1.742506e-07	2.084637e+00	5.125108e-07	4.305060e-07	8.200481e-08
0.175         	1.941923e-07	2.059765e+00	5.279154e-07	4.581500e-07	6.976544e-08
0.18          	2.101952e-07	2.036310e+00	5.412454e-07	4.808179e-07	6.042751e-08
0.185         	2.229922e-07	2.014081e+00	5.558157e-07	5.009000e-07	5.491566e-08
0.19          	2.331657e-07	1.993029e+00	5.616533e-07	5.139924e-07	4.766094e-08
0.195         	2.411801e-07	1.973020e+00	5.716518e-07	5.270060e-07	4.464576e-08
0.2           	2.474071e-07	1.954005e+00	5.691490e-07	5.319817e-07	3.716736e-08
0.205         	2.521463e-07	1.935987e+00	5.753193e-07	5.398059e-07	3.551337e-08
0.21          	2.556515e-07	1.918868e+00	5.812329e-07	5.462679e-07	3.496497e-08
0.215         	2.581206e-07	1.902524e+00	5.569250e-07	5.365831e-07	2.034193e-08
0.22          	2.597150e-07	1.886993e+00	5.900520e-07	5.547411e-07	3.531098e-08
0.225         	2.605721e-07	1.872238e+00	6.065060e-07	5.638251e-07	4.268089e-08
